Índice,Nome,Preço,Área,Localização
1,Apartamento T2 com terraço na praia da Torreira,185 000 €,"104,70 m²","Apartamento para comprar: Torreira, Murtosa, Aveiro"
2,Apartamento T2 renovado em Valongo,149 000 €,86 m²,"Apartamento para comprar: Valongo, Porto"
3,Apartamento T2 em Esgueira,219 000 €,90 m²,"Apartamento para comprar: Esgueira, Aveiro"
4,Apartamento T4 Novo com Varanda de 72m2 com Vistas Mar - Canidelo,995 000 €,"168,17 m²","Apartamento para comprar: Canidelo, Vila Nova de Gaia, Porto"
5,T2 com terraço e piscina - Matosinhos Sul,610 000 €,"198,39 m²","Apartamento para comprar: Matosinhos e Leça da Palmeira, Matosinhos, Porto"
6,Apart T1 perto Pólo Universitário Porto investimento ou habita propria,125 000 €,"44,34 m²","Apartamento para comprar: Paranhos, Porto"
7,Apartamento T3 renovado na Cidade da Maia (800m Estação Metro),235 000 €,95 m²,"Apartamento para comprar: Cidade da Maia, Maia, Porto"
8,T3 remodelado na Sobreda - Charneca da Caparica,207 000 €,84 m²,"Apartamento para comprar: Charneca de Caparica e Sobreda, Almada, Setúbal"
9,T3+1 em Queluz com Terraço e Quarto ou Escritório Externo,295 000 €,154 m²,"Apartamento para comprar: Queluz e Belas, Sintra, Lisboa"
10,T3 com Terraços no centro de Aveiro,595 000 €,"147,50 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
11,Apartamento T2 com Lugar de Garagem em Aveiro,380 000 €,"77,45 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
12,Apartamento T2 com Lugar de Garagem em Aveiro,395 000 €,"88,97 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
13,Apartamento T1+1 Duplex para Venda em Portimão,199 000 €,"87,28 m²","Apartamento para comprar: Portimão, Faro"
14,"Apartamento T2, com varanda a Sul, em edifício novo junto...",535 000 €,"97,82 m²","Apartamento para comprar: Matosinhos e Leça da Palmeira, Matosinhos, Porto"
15,"Apartamento T4 com 150 m2, varanda, lugar de garagem duplo e arrumo, L",350 000 €,151 m²,"Apartamento para comprar: Custóias, Leça do Balio e Guifões, Matosinhos, Porto"
