Distrito,Preço Previsto,Preço por m^2
Aveiro,292378.97,2923.79
Beja,206834.28,2068.34
Braga,221745.14,2217.45
Bragança,289766.50,2897.67
Castelo Branco,184435.95,1844.36
Coimbra,208421.92,2084.22
Évora,259341.80,2593.42
Faro,419235.41,4192.35
Distrito da Guarda,289766.50,2897.67
Leiria,244245.89,2442.46
Lisboa,605248.19,6052.48
Portalegre,289766.50,2897.67
Porto,318600.50,3186.00
Santarém,171418.31,1714.18
Setúbal,302360.41,3023.60
Viana do Castelo,249570.02,2495.70
Vila Real,215591.00,2155.91
Viseu,246063.47,2460.63
